PGC,Name,RA,Dec,DCom,T,B.T,armC,armS,armR,barL,iRing,oRing,pRing,Pert,vDust,pDust,floc,spot,inc
7210,PGC007210,28.9636,-9.9671,113.9,4,0.25,0.50,0.50,0.00,0.50,0.50,0.00,0.00,0.25,0.25,NA,0.75,0.00,0.25
7246,UGC01408,29.0638,13.1658,109.1,6,0.25,0.25,NA,NA,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.75,0.00,0.50
7262,NGC0755,29.0932,-9.0624,22.0,7,0.25,0.25,NA,NA,0.50,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.25,0.75
7328,IC1756,29.2725,-0.4689,93.6,3,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,1.00,0.50,0.50,0.00,1.00
7341,IC1755,29.2911,14.5498,112.9,1,0.50,0.25,NA,NA,0.25,0.25,NA,NA,0.00,0.50,0.50,0.25,0.00,0.75
7366,NGC0747,29.3767,-9.4622,74.9,3,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.50
7465,NGC0768,29.6706,0.5289,98.9,5,0.25,0.75,0.75,0.00,0.00,0.25,0.00,0.00,0.50,0.50,0.50,0.25,0.25,0.50
7485,PGC007485,29.7175,-8.1661,66.4,6,0.25,0.75,0.50,0.00,0.25,0.25,0.00,0.00,0.50,0.25,NA,0.75,0.25,0.00
7533,UGC01468,29.8795,13.9434,66.0,6,0.50,0.75,0.00,1.00,0.25,0.00,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.50
7536,NGC0774,29.8951,14.0082,66.0,-2,1.00,0.00,NA,0.50,0.00,1.00,0.00,0.00,0.00,0.25,NA,0.00,0.00,0.50
7574,UGC01481,30.0203,-0.2792,117.5,6,0.25,0.50,NA,NA,0.25,0.00,0.00,0.00,0.00,0.50,0.25,0.50,0.00,0.75
7632,NGC0787,30.2025,-9.0022,66.0,1,0.50,0.00,NA,NA,0.00,0.75,0.25,0.00,0.25,0.50,0.50,0.25,0.00,0.25
7654,PGC007654,30.2296,-8.8408,21.6,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.25,0.25,0.25
7740,NGC0800,30.5494,-0.1304,83.6,4,0.25,0.50,0.50,1.00,0.00,0.00,0.00,0.00,0.50,0.25,NA,0.50,0.00,0.00
7741,NGC0799,30.5515,-0.1008,83.2,2,0.50,0.25,0.75,0.00,0.50,0.50,0.00,0.00,0.25,0.25,NA,0.25,0.00,0.00
7748,UGC01525,30.5723,-1.1280,180.6,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
7806,PGC007806,30.7579,-9.6564,53.6,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.25,NA,0.50,0.00,1.00
7835,NGC0806,30.8796,-9.9331,54.7,7,0.00,0.50,NA,NA,0.50,0.00,0.00,0.00,0.50,0.50,0.50,0.75,0.50,0.75
7846,IC0195,30.9365,14.7090,52.1,-2,0.75,0.00,NA,0.25,0.50,0.50,0.00,0.00,0.75,0.00,NA,0.00,0.00,0.50
7856,IC0196,30.9577,14.7391,52.1,1,0.50,0.25,0.25,NA,0.75,0.50,0.00,0.00,1.00,0.75,0.50,0.00,0.00,0.50
7889,NGC0809,31.0790,-8.7352,74.9,-2,0.75,0.00,NA,0.50,0.00,0.50,1.00,0.00,0.00,0.00,NA,0.25,0.00,0.25
7905,NGC0811,31.1457,-10.1090,25.9,7,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.50,0.25,0.50
7965,NGC0810,31.3692,13.2507,109.1,-1,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.25,0.50,0.00,0.00,0.00,0.50
7966,UGC01584,31.3615,13.3271,107.2,6,0.25,0.50,NA,NA,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.75
7979,UGC01588,31.4182,-0.6950,179.4,4,0.50,NA,NA,NA,0.25,NA,NA,NA,0.00,0.50,0.25,0.50,0.00,1.00
7998,PGC007998,31.4546,-9.8217,25.7,10,0.00,0.00,NA,NA,0.50,0.00,0.00,0.00,0.50,0.00,NA,0.50,0.50,0.75
8014,UGC01593,31.5252,13.2850,105.7,6,0.25,0.75,0.50,0.00,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.25
8029,UGC01597,31.5669,-0.2915,179.2,-1,0.75,0.25,0.00,NA,0.00,0.25,0.00,0.00,1.00,0.50,0.50,0.00,0.00,0.25
8060,UGC01603,31.6771,-0.8604,84.5,8,0.25,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.25,0.00
8165,NGC0820,32.1043,14.3494,63.2,3,0.75,0.50,0.75,0.00,0.00,0.25,0.00,0.00,0.25,0.75,0.75,0.75,0.00,0.25
8182,NGC0829,32.1757,-7.7907,56.4,8,0.25,0.50,0.25,0.00,0.50,0.00,0.00,0.00,0.50,0.50,0.50,0.75,0.50,0.25
8201,NGC0830,32.2444,-7.7668,53.6,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
8225,NGC0833,32.3370,-10.1334,53.2,1,0.75,0.25,NA,0.25,0.25,0.25,0.00,0.00,0.75,0.75,0.50,0.25,0.00,0.50
8228,NGC0835,32.3529,-10.1362,56.4,1,0.75,0.00,NA,0.50,0.00,0.00,1.00,0.00,0.25,0.75,0.50,0.50,0.00,0.25
8232,IC0210,32.3679,-9.6803,26.1,4,0.50,0.50,NA,NA,NA,NA,NA,NA,0.00,1.00,1.00,0.75,0.00,0.75
8250,NGC0838,32.4107,-10.1470,53.2,-1,0.50,0.00,NA,NA,0.00,0.00,0.00,0.00,0.50,0.75,0.50,0.25,1.00,0.25
8258,NGC0842,32.4617,-7.7624,53.6,-2,0.75,0.00,NA,0.50,0.00,0.00,0.50,0.00,0.00,0.00,NA,0.00,0.00,0.50
8295,PGC008295,32.5617,-9.7094,26.9,9,0.00,0.25,0.25,0.25,0.25,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.25,0.75
8302,UGC01665,32.5943,1.2010,49.6,10,0.00,0.00,NA,NA,0.25,0.00,0.00,0.00,0.25,0.00,NA,0.50,0.00,0.25
8397,NGC0853,32.9232,-9.3046,20.5,9,0.00,0.00,NA,0.75,0.00,0.00,0.00,0.00,0.25,0.50,0.75,0.75,0.75,0.25
8399,UGC01687,32.9135,14.2981,109.9,-1,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.25,0.50,0.25,0.00,0.00,0.25
8406,UGC01689,33.0012,14.0164,63.0,8,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.50
8412,UGC01693,33.0140,14.1039,54.7,8,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.50,0.25,0.00
8439,UGC01698,33.0821,-0.8114,172.4,2,0.75,0.00,0.75,1.00,1.00,0.50,0.25,0.25,0.00,0.00,NA,0.00,0.00,0.25
8464,UGC01702,33.1770,13.9692,174.5,0,0.75,0.00,NA,NA,0.25,0.50,0.25,0.00,0.00,0.00,NA,0.25,0.00,0.00
8502,PGC008502,33.3145,-7.6629,66.8,2,0.50,0.25,0.75,1.00,0.50,0.50,0.25,0.00,0.00,0.25,NA,0.25,0.00,0.25
8522,UGC01710,33.4069,13.7280,174.8,0,0.75,0.00,NA,NA,1.00,1.00,0.00,0.25,0.00,0.25,NA,0.25,0.00,0.00
8526,NGC0856,33.4104,-0.7174,84.7,1,0.50,0.25,0.75,0.75,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.25
8586,NGC0863,33.6400,-0.7667,111.4,1,0.75,0.00,1.00,0.25,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.25,0.00,0.00
8659,NGC0868,33.9935,-0.7133,113.3,-2,0.75,0.25,0.00,NA,0.00,0.25,0.00,0.00,0.50,0.00,NA,0.00,0.00,0.25
8718,NGC0867,34.2700,1.2442,90.6,-5,1.00,0.00,NA,0.50,0.00,0.25,0.00,0.00,0.00,0.25,NA,0.00,0.00,0.00
8876,UGC01794,34.9216,-0.2558,109.1,2,0.75,0.25,0.00,1.00,0.25,0.00,0.00,0.00,0.50,0.25,NA,0.25,0.50,0.00
8929,UGC01809,35.2228,0.5568,102.9,-2,0.75,0.00,NA,NA,0.75,0.25,0.25,0.00,0.25,0.00,NA,0.00,0.50,0.25
8979,UGC01824,35.4189,0.2552,NA   ,-2,0.75,0.00,NA,NA,0.25,0.50,0.50,0.00,0.00,0.00,NA,0.25,0.00,0.50
9028,UGC01839,35.6249,-0.6179,21.0,7,0.00,NA,NA,NA,NA,0.00,NA,NA,0.00,0.00,NA,0.50,0.00,1.00
9256,NGC0926,36.5282,-0.3321,90.2,5,0.25,0.50,0.50,1.00,0.25,0.00,0.00,0.00,0.25,0.50,0.50,0.25,0.00,0.50
9283,IC0225,36.6180,1.1603,21.0,11,NA,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.25,0.50,0.00
9352,NGC0934,36.8873,-0.2445,88.9,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
9359,NGC0936,36.9056,-1.1565,19.5,-1,0.75,0.00,NA,0.50,0.75,0.25,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
9376,UGC01934,36.9643,0.5016,173.1,5,0.25,0.25,NA,NA,0.25,0.00,NA,NA,0.00,0.75,0.50,0.25,0.00,0.75
9406,UGC01949,37.0779,-0.6069,19.9,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.25,0.25,0.25
9414,NGC0941,37.1164,-1.1512,21.8,9,0.00,0.25,NA,1.00,0.00,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.50,0.25
9445,UGC01962,37.2280,0.3704,85.3,6,0.25,0.50,0.75,0.00,0.00,0.25,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.25
9514,IC0231,37.4852,1.1787,93.2,-2,0.75,0.00,NA,0.50,0.50,0.50,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
9530,UGC01981,37.5717,0.9378,20.8,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.25,0.00,0.00
9549,NGC0955,37.6390,-1.1085,20.3,2,0.75,NA,NA,NA,NA,NA,NA,NA,0.00,0.75,0.50,0.00,0.00,1.00
9617,UGC01998,37.9311,0.2931,89.1,7,0.00,0.00,NA,NA,0.25,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.25
9621,NGC0960,37.9225,-9.3003,68.3,1,0.75,NA,NA,NA,0.25,NA,NA,NA,0.00,0.75,0.25,0.00,0.00,1.00
9642,UGC02005,37.9911,1.2462,93.2,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
9643,UGC02004,37.9983,0.9100,92.1,4,0.25,0.50,0.25,1.00,0.75,0.00,0.00,0.00,0.25,0.25,NA,0.25,0.00,0.25
9684,UGC02018,38.1674,0.2598,87.0,-2,0.75,0.00,0.75,NA,0.00,0.50,0.25,0.00,0.25,0.00,NA,0.00,0.00,0.50
9711,UGC02024,38.2556,0.4203,94.4,1,0.75,0.25,0.75,0.00,0.50,0.00,0.00,0.00,0.00,0.50,0.25,0.00,0.00,0.50
9765,UGC02044,38.4850,0.9231,92.7,7,0.00,0.25,0.75,0.00,0.50,0.00,0.00,0.00,0.50,0.00,NA,0.25,0.00,0.25
9817,NGC0985,38.6574,-8.7876,181.5,4,0.50,0.75,0.75,NA,0.00,0.00,0.00,0.00,1.00,0.50,0.50,0.50,1.00,0.25
9822,PGC009822,38.7012,-7.6833,92.5,4,0.25,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.00,0.00
9843,NGC0988,38.8642,-9.3547,19.9,6,0.25,0.50,0.50,1.00,0.50,0.00,0.00,0.00,0.00,0.50,0.75,0.75,0.00,0.50
9846,NGC0991,38.8872,-7.1548,20.3,8,0.25,0.50,0.25,NA,0.00,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.25,0.00
9869,UGC02081,39.0044,0.4198,36.3,7,0.25,0.25,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.25,NA,0.75,0.00,0.50
9880,UGC02088,39.0586,-0.6980,158.3,5,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.25,NA,0.50,0.00,1.00
9894,UGC02091,39.0986,0.7083,92.7,4,0.25,0.50,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.75,0.50,0.75,0.25,0.75
10060,NGC1032,39.8489,1.0938,37.6,0,0.75,NA,NA,NA,NA,NA,NA,NA,0.00,0.75,0.00,0.00,0.00,1.00
10065,NGC1035,39.8704,-8.1311,16.3,3,0.25,0.00,NA,NA,0.00,0.00,NA,NA,0.00,1.00,1.00,1.00,0.00,0.75
10108,NGC1033,40.0672,-8.7770,102.1,4,0.50,0.50,0.75,1.00,0.00,0.25,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.00
10117,UGC02162,40.0973,1.2287,16.0,10,0.00,0.00,NA,NA,0.25,0.00,0.00,0.00,0.50,0.00,NA,0.25,0.00,0.25
10122,NGC1042,40.0983,-8.4331,18.0,5,0.25,0.50,0.50,0.00,0.25,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.25,0.00
10132,NGC1047,40.1371,-8.1467,18.6,11,0.25,0.00,NA,NA,0.00,0.00,NA,NA,0.00,0.00,NA,0.00,0.50,0.75
10137,NGC1048A,40.1483,-8.5472,158.1,1,0.50,0.25,NA,NA,0.00,0.00,0.00,0.00,0.50,1.00,0.50,0.50,0.00,0.50
10140,NGC1048B,40.1571,-8.5336,163.2,2,0.50,0.00,NA,NA,NA,0.00,NA,NA,0.50,0.75,0.50,0.50,0.00,0.75
10175,NGC1052,40.2700,-8.2558,19.7,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
10208,NGC1055,40.4387,0.4423,13.3,3,0.75,NA,NA,NA,NA,NA,NA,NA,0.00,1.00,1.00,0.25,0.00,1.00
10213,PGC010213,40.4579,-7.9250,18.4,10,0.00,0.00,NA,NA,0.25,0.00,0.00,0.00,0.25,0.00,NA,0.50,0.25,0.25
10249,NGC1064,40.5979,-9.3625,129.8,3,0.50,0.75,0.50,1.00,0.50,0.25,0.00,0.00,0.25,0.25,NA,0.25,0.00,0.00
10285,NGC1069,40.7487,-8.2894,133.8,5,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.00,0.25
10290,NGC1071,40.7824,-8.7737,160.8,2,0.50,0.25,0.25,1.00,0.50,0.25,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.50
10315,NGC1072,40.8810,0.3067,112.7,1,0.50,0.25,0.75,1.00,0.50,0.25,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.75
10381,UGC02216,41.0886,0.6764,38.5,9,0.00,0.00,NA,NA,0.50,0.00,0.00,0.00,0.50,0.25,NA,0.25,0.00,0.75
10464,NGC1084,41.5000,-7.5769,18.6,3,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.25,1.00,1.00,1.00,0.50,0.50
10496,NGC1087,41.6055,-0.4988,20.5,6,0.25,0.25,0.25,0.25,0.25,0.00,0.00,0.00,0.25,0.75,1.00,1.00,0.50,0.50
10507,NGC1090,41.6404,-0.2469,38.3,4,0.25,0.50,0.50,1.00,0.25,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.25,0.50
10559,NGC1094,41.8658,-0.2850,90.4,2,0.50,0.25,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.75,0.25,0.00,0.25
10574,UGC02271,41.9372,0.4140,117.8,4,0.50,0.50,0.25,1.00,1.00,0.00,0.00,0.00,0.00,0.50,0.50,0.25,0.00,0.50
10634,NGC1104,42.1612,-0.2714,91.7,2,0.75,0.00,0.75,0.50,1.00,1.00,0.00,0.75,0.00,0.25,NA,0.25,0.00,0.25
10647,IC1856,42.2117,-0.7672,91.0,1,0.75,0.00,0.75,0.75,0.25,0.75,0.50,1.00,0.00,0.50,0.50,0.25,0.00,0.50
10649,PGC010649,42.2168,-0.5241,103.6,-6,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
10651,UGC02292,42.2168,0.9894,118.4,-1,1.00,0.00,NA,0.50,0.00,0.25,0.00,0.00,0.50,0.75,0.25,0.00,0.00,0.25
10673,NGC1110,42.2887,-7.8375,17.3,8,0.00,NA,NA,NA,NA,0.00,NA,NA,0.25,0.25,NA,0.25,0.25,1.00
10697,UGC02311,42.3668,-0.8730,100.2,2,0.50,0.25,0.50,1.00,1.00,0.50,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.25
10726,PGC010726,42.4204,-0.5233,92.7,3,0.50,0.50,0.00,NA,1.00,0.50,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.50
10747,UGC02319,42.4735,-1.0035,98.9,6,0.25,0.50,NA,NA,0.25,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.75
10766,PGC010766,42.5729,-8.5972,74.3,4,0.50,NA,NA,NA,NA,NA,NA,NA,0.00,0.75,0.25,0.50,0.00,1.00
10794,PGC010794,42.6835,-6.7465,98.0,5,0.25,0.25,0.25,0.00,0.00,0.25,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.75
10843,UGC02343,42.8963,-0.7338,98.3,-1,0.50,0.00,0.75,0.25,0.75,0.75,0.25,0.00,0.25,0.00,NA,0.00,0.00,0.25
10854,UGC02345,42.9716,-1.1714,20.3,9,0.00,0.25,0.00,NA,0.50,0.00,0.00,0.00,0.75,0.00,NA,0.50,0.25,0.25
10857,UGC02346,42.9775,0.6646,123.7,5,0.25,0.25,0.25,1.00,0.25,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.00,0.75
10875,PGC010875,43.0971,-8.5106,70.0,1,0.50,NA,NA,NA,NA,NA,NA,NA,0.00,0.75,0.25,0.25,0.00,1.00
11000,UGC02385,43.7637,-1.1894,99.5,6,0.25,0.50,NA,0.00,0.00,0.00,0.00,0.00,0.25,0.25,NA,1.00,0.00,0.25
11007,NGC1143,43.7908,-0.1780,119.2,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.25,0.00,NA,0.00,0.00,0.25
11067,UGC02404,43.9540,1.0789,69.6,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.50,0.50,0.50,0.00,1.00
11075,UGC02403,43.9890,0.6923,58.1,3,0.50,0.25,0.50,1.00,0.75,0.00,0.00,0.00,0.00,0.75,0.50,0.00,0.00,0.50
11112,UGC02418,44.1132,0.8756,96.8,5,0.25,0.75,0.25,1.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.00,0.50
11148,NGC1148,44.2679,-7.6858,72.3,4,0.25,0.50,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,1.00,0.00,0.25
11154,UGC02428,44.2992,-0.2233,66.4,8,0.00,0.00,NA,0.25,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.75,0.00,0.25
11170,NGC1149,44.3493,-0.3095,123.0,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.00,0.00,0.25
11397,UGC02482,45.2640,-0.7438,36.8,8,0.00,0.00,0.00,NA,0.25,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.50,0.25
11537,NGC1194,45.9547,-1.1041,57.0,-1,0.75,0.00,NA,0.50,0.00,NA,0.00,0.00,0.25,0.75,0.50,0.00,0.00,1.00
11573,PGC011573,46.0875,-6.9966,29.3,9,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.50,0.25,0.50
11598,UGC02523,46.2878,1.0933,97.8,6,0.25,0.50,NA,0.25,0.25,0.00,NA,NA,0.25,0.75,0.50,0.25,0.00,0.75
11670,NGC1211,46.7188,-0.7948,44.9,0,0.75,0.00,NA,NA,0.75,0.50,0.75,0.00,0.00,0.00,NA,0.00,0.00,0.00
11751,PGC011751,47.1171,-7.8189,50.6,8,0.00,0.00,NA,NA,0.50,0.00,0.00,0.00,0.25,0.00,NA,0.75,0.50,0.25
11767,PGC011767,47.2004,-7.0403,122.0,4,0.25,0.50,0.00,1.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.25,0.00,0.75
11813,NGC1234,47.4133,-7.8464,51.7,5,0.00,0.75,0.25,0.00,0.50,0.00,0.00,0.00,0.25,0.25,NA,0.75,0.25,0.25
11912,UGC02585,47.9480,-0.4034,97.0,2,0.50,0.25,0.75,1.00,0.75,0.50,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.25
11919,UGC02587,47.9997,-1.1621,113.5,4,0.50,NA,NA,NA,NA,NA,NA,NA,0.00,1.00,0.25,0.25,0.00,1.00
11966,UGC02594,48.1908,-0.3334,95.7,-1,0.75,0.00,NA,0.50,0.50,0.50,0.50,0.00,0.25,0.25,NA,0.00,0.00,0.25
12017,IC0307,48.4388,-0.2418,109.7,1,0.50,0.25,0.75,0.00,0.25,0.75,0.25,0.00,0.50,0.75,0.50,0.25,0.00,0.50
12090,PGC012090,48.8054,-7.2708,131.7,6,0.50,NA,NA,NA,NA,NA,NA,NA,0.00,0.75,0.25,0.50,0.00,1.00
12163,UGC02628,49.1329,-0.4686,95.9,6,0.25,0.50,NA,0.75,0.25,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.00,0.75
12220,UGC02645,49.3608,-0.0947,96.3,4,0.50,NA,NA,NA,NA,NA,NA,NA,0.25,1.00,0.25,0.25,0.00,1.00
12259,NGC1285,49.4721,-7.2981,73.0,3,0.25,0.50,0.50,0.00,0.25,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.25,0.25
12262,NGC1280,49.4875,-0.1689,96.1,3,0.50,0.50,0.50,1.00,0.25,0.25,0.00,0.00,0.50,0.50,0.50,0.50,0.00,0.25
12466,NGC1299,50.0399,-6.2625,31.4,3,0.25,0.25,0.25,0.75,0.00,0.00,0.00,0.00,0.25,0.75,0.75,1.00,0.00,0.50
12531,UGC02690,50.1792,-1.1089,88.1,5,0.25,0.75,0.50,0.00,0.25,0.00,0.00,0.00,0.25,0.50,0.75,0.75,0.25,0.50
12560,UGC02692,50.2450,-0.3692,88.7,5,0.50,0.75,0.75,1.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.25,0.00
12620,UGC02699,50.5043,-1.0542,112.5,5,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,1.00,0.25,0.25,0.00,1.00
12633,PGC012633,50.5725,-7.0906,37.2,3,0.50,0.25,0.50,0.25,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.25,0.00
12655,UGC02705,50.6970,0.1489,96.3,4,0.25,0.50,0.50,1.00,0.50,0.25,0.00,0.00,0.25,0.50,0.50,0.75,0.25,0.00
12733,UGC02721,51.0945,0.1131,91.0,8,0.00,0.00,NA,NA,0.50,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.50,0.00
12772,NGC1324,51.2546,-5.7475,79.4,2,0.50,0.25,0.75,1.00,0.00,0.00,0.00,0.00,0.00,0.75,0.50,0.75,0.00,0.75
12801,PGC012801,51.3556,-6.1441,145.2,-6,0.75,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,1.00,0.00
12803,PGC012803,51.3810,-6.1289,146.9,3,0.50,0.50,0.25,0.00,0.00,0.50,0.00,0.00,0.50,0.50,0.50,0.50,0.25,0.00
13005,PGC013005,52.5392,-5.5208,58.1,3,0.25,0.00,NA,NA,NA,0.00,0.00,0.00,0.75,0.75,0.50,0.25,0.00,0.75
13009,NGC1346,52.5552,-5.5434,56.4,3,0.75,0.25,0.75,0.75,0.00,0.25,0.00,0.00,0.25,0.75,0.50,0.50,0.00,0.25
13117,IC0330,53.0335,0.3531,128.5,4,0.50,0.50,NA,NA,0.50,0.00,0.00,0.25,0.00,0.50,0.50,0.25,0.00,0.75
13204,PGC013204,53.4942,-7.1406,143.3,5,0.50,NA,NA,NA,NA,NA,NA,NA,0.00,0.50,0.25,0.25,0.00,1.00
13218,NGC1361,53.5742,-6.2653,73.6,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
13308,PGC013308,54.0887,-6.7139,42.7,8,0.00,0.00,0.00,NA,0.50,0.00,0.00,0.00,0.50,0.00,NA,0.50,0.50,0.25
13394,PGC013394,54.4946,-6.2728,93.2,5,0.25,0.50,0.25,0.00,0.25,0.25,0.00,0.00,0.50,0.50,0.50,0.50,0.25,0.50
13406,PGC013406,54.5637,1.1736,170.8,6,0.25,0.50,0.25,0.00,0.25,0.25,0.00,0.00,0.50,0.50,0.50,0.50,0.00,0.50
13407,PGC013407,54.5675,-5.6561,NA   ,7,0.00,0.50,0.25,0.00,1.00,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.50,0.50
13421,PGC013421,54.6375,-5.4675,85.9,6,0.25,0.75,0.50,0.00,0.25,0.25,0.00,0.00,0.25,0.50,0.50,0.50,0.00,0.25
13426,PGC013426,54.6617,-5.3472,57.0,6,0.25,0.50,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.75,0.00,0.75
13535,PGC013535,55.1792,-6.4150,72.8,6,0.25,0.75,0.50,1.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.00,0.25
13600,PGC013600,55.5425,-6.7650,72.3,0,0.75,0.00,NA,NA,0.25,0.50,0.50,0.00,0.00,0.25,NA,0.25,0.00,0.50
13702,UGC02842,55.9688,0.6141,171.4,4,0.25,0.50,0.75,0.00,0.00,0.00,0.00,0.00,0.25,0.50,NA,0.25,0.00,0.00
13879,PGC013879,57.1037,-6.6267,88.1,4,0.50,0.75,0.25,0.00,1.00,0.00,0.00,0.00,0.50,0.25,NA,0.50,0.25,0.00
13903,UGC02872,57.2490,1.1713,57.9,8,0.00,0.25,NA,NA,0.75,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.25,0.25
14004,NGC1468,58.0524,-6.3490,138.9,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
14100,PGC014100,58.7696,-6.2214,68.9,6,0.25,0.50,0.50,1.00,0.00,0.25,0.00,0.00,0.25,0.25,NA,0.75,0.25,0.25
20545,UGC03773,109.1137,39.7825,NA   ,8,0.25,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.75
20799,UGC03811,110.4285,35.7375,115.8,2,0.50,0.25,0.50,0.00,0.25,0.50,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.25
20886,UGC03822,110.8037,37.4595,102.7,4,0.25,0.75,0.00,1.00,1.00,0.50,0.00,0.00,0.25,0.50,0.25,0.25,0.00,0.25
20900,UGC03825,110.8884,41.4346,119.4,4,0.25,0.50,0.50,1.00,0.50,0.00,0.00,0.00,0.25,0.50,0.50,0.25,0.00,0.00
21014,UGC03844,111.6477,43.2959,46.8,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
21073,UGC03860,112.0727,40.7686,6.9,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.50,0.00,NA,0.25,0.25,0.25
